Url,Project name,Commit,File_name,Strategy,Clone result,Compile result,Compile java version,Conflict result,Test A result,Test B result,Existing tests result,Evosuite A result,Evosuite B result,Evosuite A's test on A,Evosuite A's test on B,Evosuite B's test on A,Evosuite B's test on B,Evosuite result,GPT A's test on A,GPT A's test on B,GPT B's test on A,GPT B's test on B,GPT result,Human result,Corrected wrong ground truth
https://github.com/sendgrid/sendgrid-java,sendgrid-java,23f7c40cb4f37f12917c576c7929aa16b7169b4e,src/main/java/com/sendgrid/helpers/mail/objects/MailSettings.java,A,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:FALSE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,testB:FALSE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,,generate A TRUE,generate B TRUE,gen_code_A_test_A:SUCCESS;RUN:39;FAILURE:0;ERROR:0;SKIP:0;PASS:39,gen_code_B_test_A:SUCCESS;RUN:39;FAILURE:0;ERROR:0;SKIP:0;PASS:39,gen_code_A_test_B:SUCCESS;RUN:39;FAILURE:0;ERROR:0;SKIP:0;PASS:39,gen_code_B_test_B:SUCCESS;RUN:39;FAILURE:0;ERROR:0;SKIP:0;PASS:39,evosuite:same(cannot distinguish),,,,,,,
https://github.com/usc-isi-i2/Web-Karma,Web-Karma,9c8ffca06af8f43d384cbab509ac818116e1b982,karma-util/src/main/java/edu/isi/karma/util/KarmaStats.java,A,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:TRUE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,testB:TRUE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,,generate A TRUE,generate B TRUE,gen_code_A_test_A:SUCCESS;RUN:10;FAILURE:0;ERROR:0;SKIP:0;PASS:10,gen_code_B_test_A:FAIL;RUN:10;FAILURE:0;ERROR:1;SKIP:0;PASS:9,gen_code_A_test_B:FAIL;RUN:12;FAILURE:2;ERROR:0;SKIP:0;PASS:10,gen_code_B_test_B:SUCCESS;RUN:12;FAILURE:0;ERROR:0;SKIP:0;PASS:12,evosuite:A,,,,,,,
https://github.com/uchicago/shibboleth-oidc,shibboleth-oidc,3e183a0b58ef1865d4ec99d154474d395c9ff1bd,idp-oidc-impl/src/main/java/net/shibboleth/idp/oidc/util/OidcUtils.java,A,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:TRUE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,testB:TRUE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,,generate A FALSE,generate B FALSE,,,,,evosuite:same(fail),gpt_code_A_test_A:SUCCESS;RUN:1;FAILURE:0;ERROR:0;SKIP:0;PASS:1,gpt_code_B_test_A:FAIL;RUN:1;FAILURE:1;ERROR:0;SKIP:0;PASS:0,gpt_code_A_test_B:FAIL;RUN:1;FAILURE:1;ERROR:0;SKIP:0;PASS:0,gpt_code_B_test_B:SUCCESS;RUN:1;FAILURE:0;ERROR:0;SKIP:0;PASS:1,gpt:A,,
https://github.com/FasterXML/jackson-core,jackson-core,1f35bbc2a4fdb2319686be93c969edee02454d47,src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java,B,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:TRUE;RUN:874;FAILURE:0;ERROR:0;SKIP:0;PASS:874,testB:TRUE;RUN:874;FAILURE:0;ERROR:0;SKIP:0;PASS:874,,generate A TRUE,generate B TRUE,gen_code_A_test_A:SUCCESS;RUN:73;FAILURE:0;ERROR:0;SKIP:0;PASS:73,gen_code_B_test_A:SUCCESS;RUN:73;FAILURE:0;ERROR:0;SKIP:0;PASS:73,gen_code_A_test_B:SUCCESS;RUN:78;FAILURE:0;ERROR:0;SKIP:0;PASS:78,gen_code_B_test_B:SUCCESS;RUN:78;FAILURE:0;ERROR:0;SKIP:0;PASS:78,evosuite:same(cannot distinguish),,,,,,,
https://github.com/alexo/wro4j,wro4j,272a9640e5ddd82172e7baefe86f3c7efbb28674,wro4j-core/src/main/java/ro/isdc/wro/cache/DefaultSynchronizedCacheStrategyDecorator.java,A,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:FALSE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,testB:FALSE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,,generate A TRUE,generate B TRUE,gen_code_A_test_A:SUCCESS;RUN:3;FAILURE:0;ERROR:0;SKIP:0;PASS:3,gen_code_B_test_A:SUCCESS;RUN:3;FAILURE:0;ERROR:0;SKIP:1;PASS:2,gen_code_A_test_B:SUCCESS;RUN:3;FAILURE:0;ERROR:0;SKIP:0;PASS:3,gen_code_B_test_B:SUCCESS;RUN:3;FAILURE:0;ERROR:0;SKIP:0;PASS:3,evosuite:A,,,,,,,
https://github.com/jpmml/jpmml-sparkml,jpmml-sparkml,20954108735fc50f8abca326208d1f480b4b66d2,src/main/java/org/jpmml/sparkml/ExpressionTranslator.java,A,Clone TRUE,Compile TRUE,ORACLEJAVA11,Conflicts TRUE,testA:FALSE;RUN:40;FAILURE:0;ERROR:30;SKIP:0;PASS:10,testB:FALSE;RUN:40;FAILURE:0;ERROR:30;SKIP:0;PASS:10,,generate A FALSE,generate B FALSE,,,,,evosuite:same(fail),gpt_code_A_test_A:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gpt_code_B_test_A:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gpt_code_A_test_B:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gpt_code_B_test_B:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gpt:same(fail),human:A,
https://github.com/davidmoten/rxjava-file,rxjava-file,c7c2b3aa06bf4f2d022360aa6a0270798ea3590a,src/main/java/com/github/davidmoten/rx/FileObservable.java,A,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:FALSE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,testB:FALSE;RUN:;FAILURE:;ERROR:;SKIP:;PASS:,,generate A TRUE,generate B TRUE,gen_code_A_test_A:SUCCESS;RUN:1;FAILURE:0;ERROR:0;SKIP:0;PASS:1,gen_code_B_test_A:SUCCESS;RUN:1;FAILURE:0;ERROR:0;SKIP:0;PASS:1,gen_code_A_test_B:SUCCESS;RUN:1;FAILURE:0;ERROR:0;SKIP:0;PASS:1,gen_code_B_test_B:SUCCESS;RUN:1;FAILURE:0;ERROR:0;SKIP:0;PASS:1,evosuite:same(cannot distinguish),gpt_code_A_test_A:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gpt_code_B_test_A:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gpt_code_A_test_B:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gpt_code_B_test_B:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gpt:same(fail),human:A,
https://github.com/wmixvideo/nfe,nfe,7f7191036aa8831123d562e5d5d9f9cf9802223b,src/main/java/com/fincatto/documentofiscal/nfe400/classes/nota/NFNotaInfoLocal.java,A,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:FALSE;RUN:3529;FAILURE:42;ERROR:0;SKIP:1;PASS:3486,testB:FALSE;RUN:3529;FAILURE:42;ERROR:0;SKIP:1;PASS:3486,existing:A,generate A TRUE,generate B TRUE,gen_code_A_test_A:SUCCESS;RUN:27;FAILURE:0;ERROR:0;SKIP:0;PASS:27,gen_code_B_test_A:SUCCESS;RUN:27;FAILURE:0;ERROR:0;SKIP:0;PASS:27,gen_code_A_test_B:SUCCESS;RUN:27;FAILURE:0;ERROR:0;SKIP:0;PASS:27,gen_code_B_test_B:SUCCESS;RUN:27;FAILURE:0;ERROR:0;SKIP:0;PASS:27,evosuite:same(cannot distinguish),,,,,,,
https://github.com/Activiti/Activiti,Activiti,b0a0bccddb782936d5fe486df2c009e0db49cb4b,modules/activiti-bpmn-model/src/main/java/org/activiti/bpmn/model/UserTask.java,B,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:TRUE;RUN:0;FAILURE:0;ERROR:0;SKIP:0;PASS:0,testB:TRUE;RUN:0;FAILURE:0;ERROR:0;SKIP:0;PASS:0,,generate A TRUE,generate B TRUE,gen_code_A_test_A:SUCCESS;RUN:55;FAILURE:0;ERROR:0;SKIP:0;PASS:55,gen_code_B_test_A:SUCCESS;RUN:55;FAILURE:0;ERROR:0;SKIP:0;PASS:55,gen_code_A_test_B:FAIL;RUN:none;FAILURE:none;ERROR:none;SKIP:none;PASS:none,gen_code_B_test_B:SUCCESS;RUN:62;FAILURE:0;ERROR:0;SKIP:0;PASS:62,evosuite:B,,,,,,,
https://github.com/splunk/kafka-connect-splunk,kafka-connect-splunk,0e68921a53e165e3d33fc38ed1250dc01f55b2e3,src/main/java/com/splunk/kafka/connect/SplunkSinkConnectorConfig.java,B,Clone TRUE,Compile TRUE,ORACLEJAVA8,Conflicts TRUE,testA:TRUE;RUN:124;FAILURE:0;ERROR:0;SKIP:0;PASS:124,testB:FALSE;RUN:124;FAILURE:2;ERROR:0;SKIP:0;PASS:122,existing:A,generate A TRUE,generate B TRUE,gen_code_A_test_A:SUCCESS;RUN:3;FAILURE:0;ERROR:0;SKIP:0;PASS:3,gen_code_B_test_A:SUCCESS;RUN:3;FAILURE:0;ERROR:0;SKIP:0;PASS:3,gen_code_A_test_B:SUCCESS;RUN:3;FAILURE:0;ERROR:0;SKIP:0;PASS:3,gen_code_B_test_B:SUCCESS;RUN:3;FAILURE:0;ERROR:0;SKIP:0;PASS:3,evosuite:same(cannot distinguish),,,,,,,wrong_ref:A
